Date_time,WY,Year,Month,Day,Hour,Minute,T_g_5,T_g_20,T_g_50,T_g_75,T_g_100,s_m_5,s_m_20,s_m_50,s_m_75,s_m_100
2010/10/01 00:00,2011,2010,10,1,0,0,11.5,12.6,12.7,12.8,12.4,0.03625,0.041,0.036,0.021,0.00418024
2010/10/01 01:00,2011,2010,10,1,1,0,11.3,12.7,12.7,12.7,12.4,0.03725,0.047,0.042,0.027,0.00297032
2010/10/01 02:00,2011,2010,10,1,2,0,11.2,12.6,12.7,12.8,12.4,0.034,0.039,0.034,0.019,0.00236536
2010/10/01 03:00,2011,2010,10,1,3,0,11,12.3,12.7,12.7,12.4,0.036,0.041,0.036,0.021,0.0017604
2010/10/01 04:00,2011,2010,10,1,4,0,10.7,12.4,12.8,12.8,12.4,0.03325,0.039,0.034,0.019,-0.00065944
2010/10/01 05:00,2011,2010,10,1,5,0,10.6,12.3,12.8,12.8,12.4,0.0365,0.039,0.034,0.019,-0.00005448
2010/10/01 06:00,2011,2010,10,1,6,0,10.3,12.1,12.7,12.7,12.4,0.0325,0.039,0.034,0.019,-0.00005448
2010/10/01 07:00,2011,2010,10,1,7,0,10.1,12,12.8,12.7,12.4,0.036,0.041,0.036,0.021,0.00055048
2010/10/01 08:00,2011,2010,10,1,8,0,9.9,11.9,12.8,12.7,12.4,0.0325,0.041,0.036,0.021,0.00297032
2010/10/01 09:00,2011,2010,10,1,9,0,10.3,11.9,12.8,12.7,12.4,0.036,0.041,0.036,0.021,0.00357528
2010/10/01 10:00,2011,2010,10,1,10,0,10.8,11.7,12.8,12.7,12.4,0.0365,0.047,0.042,0.027,0.00297032
2010/10/01 11:00,2011,2010,10,1,11,0,11.6,11.9,12.8,12.7,12.4,0.036,0.041,0.036,0.021,0.00297032
2010/10/01 12:00,2011,2010,10,1,12,0,12.7,11.7,12.7,12.7,12.4,0.033,0.039,0.034,0.019,0.00297032
2010/10/01 13:00,2011,2010,10,1,13,0,13.5,12,12.7,12.8,12.4,0.03575,0.041,0.036,0.021,0.00055048
2010/10/01 14:00,2011,2010,10,1,14,0,14,12,12.7,12.7,12.4,0.03575,0.041,0.036,0.021,-0.00005448
2010/10/01 15:00,2011,2010,10,1,15,0,14.3,12.4,12.7,12.8,12.4,0.03225,0.039,0.034,0.019,0.00055048
2010/10/01 16:00,2011,2010,10,1,16,0,14.7,12.6,12.7,12.8,12.4,0.03625,0.039,0.034,0.019,0.00055048
2010/10/01 17:00,2011,2010,10,1,17,0,14.9,12.7,12.7,12.8,12.4,0.03225,0.041,0.036,0.021,0.00055048
2010/10/01 18:00,2011,2010,10,1,18,0,14.7,12.8,12.7,12.7,12.4,0.03275,0.041,0.036,0.021,0.00055048
2010/10/01 19:00,2011,2010,10,1,19,0,14,13.1,12.7,12.7,12.4,0.03625,0.041,0.036,0.021,0.00145792
2010/10/01 20:00,2011,2010,10,1,20,0,13.4,13.1,12.7,12.8,12.4,0.03575,0.039,0.034,0.019,0.00145792
2010/10/01 21:00,2011,2010,10,1,21,0,13,13.1,12.7,12.7,12.4,0.03625,0.042,0.037,0.022,0.00145792
2010/10/01 22:00,2011,2010,10,1,22,0,12.7,13.1,12.8,12.8,12.4,0.03725,0.041,0.036,0.021,0.00145792
2010/10/01 23:00,2011,2010,10,1,23,0,12.4,13.1,12.8,12.8,12.4,0.03725,0.041,0.036,0.021,0.00206288
2010/10/02 00:00,2011,2010,10,2,0,0,12.1,13.1,12.8,12.8,12.4,0.034,0.041,0.036,0.021,0.0017604
2010/10/02 01:00,2011,2010,10,2,1,0,11.9,13,12.8,12.8,12.4,0.0345,0.041,0.036,0.021,0.00115544
2010/10/02 02:00,2011,2010,10,2,2,0,11.6,13,12.8,12.7,12.4,0.0355,0.041,0.036,0.021,0.00115544
2010/10/02 03:00,2011,2010,10,2,3,0,11.5,12.7,12.8,12.8,12.4,0.0325,0.039,0.034,0.019,0.00297032
