id,values
0,0
0,18.3
1,18.9
2,16.8
3,16.8
4,17.0
5,16.7
6,15.9
7,16.7
8,17.0
9,17.5
10,19.8
11,19.6
12,20.6
13,22.4
14,21.3
15,21.9
16,22.0
17,40.5
18,20.2
19,38.7
20,18.6
21,17.7
22,17.2
23,16.8
24,16.1
25,34.8
26,15.9
27,15.8
28,14.8
29,33.1
30,13.2
31,31.6
32,12.6
33,14.0
34,35.1
35,17.0
36,18.0
37,37.8
38,17.2
39,17.3
40,36.5
41,18.1
42,17.9
43,16.2
44,14.4
45,32.2
46,32.3
47,13.1
48,12.0
49,12.9
50,13.2
51,12.4
52,11.3
53,10.9
54,11.1
55,11.1
56,12.2
57,13.8
58,15.0
59,15.9
60,16.9
61,17.6
62,17.9
63,18.3
64,18.5
65,18.2
66,17.7
67,16.0
68,33.5
69,14.7
70,14.0
71,14.1
72,33.7
73,13.7
74,13.5
75,33.5
76,13.9
77,13.8
78,31.7
79,13.2
80,15.1
81,17.1
82,18.1
83,37.8
84,19.0
85,18.2
86,19.1
87,16.7
88,19.1
89,19.5
90,17.7
91,16.3
92,14.8
93,14.9
94,15.9
95,15.3
96,14.9
97,14.1
98,13.7
99,14.0
100,32.7
101,13.9
102,14.0
103,13.7
104,14.2
105,17.2
106,19.3
107,19.0
108,19.9
109,20.3
110,39.8
111,20.4
112,39.1
113,19.6
114,18.6
115,17.2
116,35.9
117,35.8
118,16.5
119,15.8
120,15.7
121,15.8
122,14.7
123,13.9
124,34.2
125,14.7
126,14.7
127,14.3
128,34.3
129,18.7
130,38.4
131,19.8
132,39.7
133,20.6
134,20.4
135,21.0
136,21.2
137,21.3
138,20.4
139,18.1
140,17.6
141,17.0
142,16.1
143,17.4
144,17.1
145,15.9
146,33.9
147,14.2
148,13.2
149,31.9
150,12.1
151,11.9
152,31.2
153,11.9
154,11.8
155,12.3
156,13.2
157,14.2
158,15.4
159,15.8
160,16.0
161,15.4
162,13.3
163,12.0
164,10.8
165,10.6
166,9.9
167,29.1
168,11.0
169,11.1
170,10.9
171,10.8
172,10.8
173,10.7
174,10.8
175,10.8
176,31.2
177,13.0
178,14.6
179,16.5
180,17.8
181,18.7
182,39.6
183,20.8
184,21.2
185,21.0
186,20.1
187,18.9
188,17.8
189,16.9
190,15.8
191,14.5
192,12.6
193,10.7
194,9.1
195,7.5
196,6.5
197,6.5
198,5.0
199,23.5
200,5.0
201,7.4
202,8.9
203,10.2
204,9.9
205,9.3
206,8.7
207,9.6
208,8.6
209,7.6
210,7.3
211,6.8
212,5.5
213,4.7
214,3.4
215,2.7
216,1.8
217,1.5
218,20.5
219,0.8
220,0.1
221,0.0
222,19.4
223,-0.3
224,0.1
225,19.9
226,20.4
227,1.8
228,4.1
229,4.8
230,5.9
231,6.8
232,7.1
233,6.7
234,24.1
235,3.2
236,21.6
237,1.6
238,1.2
239,1.2
240,1.3
241,1.7
242,1.2
243,1.3
244,1.1
245,1.3
246,2.1
247,21.1
248,3.8
249,5.9
250,6.7
251,28.9
252,10.9
253,11.4
254,11.5
255,11.8
256,11.1
257,11.6
258,10.4
259,9.7
260,27.9
261,8.1
262,27.2
263,26.9
264,7.9
265,8.6
266,8.4
267,8.0
268,7.0
269,5.6
270,4.3
271,3.6
272,3.1
273,22.5
274,4.3
275,5.3
276,6.1
277,26.0
278,27.2
279,28.1
280,8.6
281,8.5
282,6.8
283,5.1
284,4.2
285,3.6
286,3.5
287,22.3
288,22.4
289,2.6
290,1.9
291,1.8
292,1.3
293,20.1
294,-0.4
295,19.0
296,1.0
297,23.8
298,5.4
299,25.5
300,6.9
301,7.7
302,8.7
303,28.4
304,9.1
305,8.7
306,6.9
307,5.2
308,4.6
309,5.7
310,5.2
311,26.9
312,8.7
313,8.6
314,7.8
315,27.8
316,9.4
317,8.9
318,8.1
319,27.0
320,7.2
321,8.4
322,7.7
323,8.3
324,8.9
325,9.6
326,9.9
327,10.1
328,29.4
329,9.5
330,7.2
331,4.6
332,2.9
333,2.4
334,2.0
335,1.9
336,1.9
337,2.0
338,1.6
339,21.5
340,3.7
341,3.6
342,3.9
343,3.9
344,5.4
345,7.5
346,9.0
347,8.2
348,28.4
349,12.8
350,12.5
351,11.8
352,11.0
353,11.1
354,9.2
355,8.6
356,9.6
357,28.6
358,7.3
359,5.9
360,5.8
361,5.8
362,6.1
363,6.9
364,7.6
365,6.8
366,6.0
367,6.4
368,7.3
369,8.7
370,9.9
371,11.4
372,13.4
373,15.2
374,16.5
375,17.8
376,17.9
377,35.8
378,14.1
379,32.1
380,13.8
381,14.7
382,33.7
383,34.1
384,14.4
385,14.3
386,13.8
387,32.6
388,13.0
389,13.0
390,12.8
391,12.7
392,14.0
393,16.4
394,18.0
395,38.1
396,19.8
397,20.4
398,21.5
399,21.5
400,19.7
401,20.0
402,17.6
403,16.2
404,15.8
405,15.9
406,35.5
407,16.7
408,17.5
409,16.7
410,16.9
411,17.1
412,16.4
413,16.4
414,16.6
