Date_time,WY,Year,Month,Day,Hour,Minute,T_g_5,T_g_20,T_g_50,T_g_75,T_g_100,s_m_5,s_m_20,s_m_50,s_m_75,s_m_100
2010/10/01 00:00,2011,2010,10,1,0,0,10.8,12.1,11,11.1,10.7,0.0305,0.036,0.016,0.017,0.021
2010/10/01 01:00,2011,2010,10,1,1,0,10.6,12,11.2,11,10.8,0.0315,0.031,0.019,0.017,0.021
2010/10/01 02:00,2011,2010,10,1,2,0,10.2,12,11,11,10.8,0.029,0.031,0.019,0.021,0.021
2010/10/01 03:00,2011,2010,10,1,3,0,9.9,12,11,11.1,10.8,0.029,0.031,0.022,0.017,0.021
2010/10/01 04:00,2011,2010,10,1,4,0,9.7,12,11,11.1,10.8,0.0315,0.036,0.019,0.021,0.021
2010/10/01 05:00,2011,2010,10,1,5,0,9.5,12,11,11,10.8,0.03,0.036,0.022,0.017,0.018
2010/10/01 06:00,2011,2010,10,1,6,0,9.2,11.9,11,11.1,10.8,0.03,0.031,0.019,0.021,0.021
2010/10/01 07:00,2011,2010,10,1,7,0,8.9,11.7,11.1,11,10.8,0.03,0.031,0.019,0.017,0.021
2010/10/01 08:00,2011,2010,10,1,8,0,8.9,11.7,11,11.1,10.6,0.03,0.031,0.016,0.017,0.021
2010/10/01 09:00,2011,2010,10,1,9,0,9.3,11.7,11.1,11.1,10.8,0.03,0.033,0.019,0.024,0.021
2010/10/01 10:00,2011,2010,10,1,10,0,10.1,11.6,11.2,11.1,10.8,0.03,0.031,0.019,0.017,0.021
2010/10/01 11:00,2011,2010,10,1,11,0,11,11.5,11.1,11.1,10.8,0.029,0.033,0.019,0.021,0.021
2010/10/01 12:00,2011,2010,10,1,12,0,12.1,11.6,11.2,11.1,10.8,0.029,0.033,0.019,0.021,0.021
2010/10/01 13:00,2011,2010,10,1,13,0,13.5,11.5,11.2,11.1,10.7,0.0295,0.033,0.019,0.017,0.021
2010/10/01 14:00,2011,2010,10,1,14,0,14.4,11.5,11.1,11.1,10.7,0.0295,0.033,0.022,0.021,0.021
2010/10/01 15:00,2011,2010,10,1,15,0,15.4,11.5,11.1,11.1,10.6,0.0295,0.033,0.019,0.017,0.021
2010/10/01 16:00,2011,2010,10,1,16,0,15.7,11.6,11.1,11.1,10.8,0.0295,0.033,0.019,0.017,0.021
2010/10/01 17:00,2011,2010,10,1,17,0,15.5,11.7,11.1,11.1,10.8,0.0295,0.033,0.019,0.017,0.021
2010/10/01 18:00,2011,2010,10,1,18,0,15.2,11.7,11.1,11.1,10.8,0.0305,0.031,0.019,0.017,0.021
2010/10/01 19:00,2011,2010,10,1,19,0,14.4,11.9,11.1,11.1,10.8,0.0305,0.031,0.019,0.023,0.021
2010/10/01 20:00,2011,2010,10,1,20,0,13.4,12,11.1,11.1,10.8,0.0295,0.031,0.019,0.021,0.021
2010/10/01 21:00,2011,2010,10,1,21,0,12.8,12.3,11.1,11.1,10.8,0.0305,0.036,0.025,0.017,0.021
2010/10/01 22:00,2011,2010,10,1,22,0,12.3,12.3,11.1,11.1,10.8,0.0315,0.036,0.019,0.024,0.021
2010/10/01 23:00,2011,2010,10,1,23,0,11.9,12.3,11.1,11.1,10.8,0.0315,0.034,0.016,0.017,0.021
2010/10/02 00:00,2011,2010,10,2,0,0,11.2,12.3,11.1,11,10.8,0.029,0.036,0.019,0.017,0.021
2010/10/02 01:00,2011,2010,10,2,1,0,11,12.3,11.1,11,10.8,0.03,0.036,0.016,0.021,0.021
2010/10/02 02:00,2011,2010,10,2,2,0,10.7,12.3,11.1,11.1,10.8,0.029,0.036,0.019,0.021,0.021
2010/10/02 03:00,2011,2010,10,2,3,0,10.3,12.3,11.1,11.1,10.8,0.03,0.034,0.019,0.017,0.021
2010/10/02 04:00,2011,2010,10,2,4,0,10.1,12.1,11.1,11.2,10.8,0.03,0.031,0.016,0.024,0.021
2010/10/02 05:00,2011,2010,10,2,5,0,9.7,12.1,11.1,11.2,10.7,0.03,0.031,0.022,0.024,0.021
2010/10/02 06:00,2011,2010,10,2,6,0,9.2,12.1,11.2,11.1,10.8,0.03,0.036,0.019,0.024,0.021
2010/10/02 07:00,2011,2010,10,2,7,0,9.1,12,11.3,11.1,10.8,0.0315,0.031,0.019,0.017,0.021
2010/10/02 08:00,2011,2010,10,2,8,0,9,12,11.3,11.2,10.8,0.0285,0.031,0.019,0.024,0.021
2010/10/02 09:00,2011,2010,10,2,9,0,9.3,12,11.2,11.2,10.7,0.03,0.033,0.019,0.017,0.021
2010/10/02 10:00,2011,2010,10,2,10,0,10.1,11.9,11.1,11,10.8,0.03,0.033,0.019,0.021,0.021
2010/10/02 11:00,2011,2010,10,2,11,0,10.8,11.7,11.3,11.1,10.7,0.03,0.031,0.019,0.017,0.021
2010/10/02 12:00,2011,2010,10,2,12,0,12.1,11.7,11.1,11.1,10.7,0.03,0.033,0.016,0.021,0.021
2010/10/02 13:00,2011,2010,10,2,13,0,13.4,11.7,11.3,11.2,10.8,0.029,0.033,0.019,0.021,0.021
2010/10/02 14:00,2011,2010,10,2,14,0,14.4,11.6,11.2,11.1,10.8,0.0305,0.033,0.019,0.023,0.021
2010/10/02 15:00,2011,2010,10,2,15,0,15.2,11.6,11.2,11,10.8,0.0295,0.033,0.016,0.023,0.021
2010/10/02 16:00,2011,2010,10,2,16,0,15.7,11.7,11.1,11.1,10.8,0.032,0.033,0.019,0.021,0.021
2010/10/02 17:00,2011,2010,10,2,17,0,15.8,11.7,11.3,11.1,10.7,0.0305,0.031,0.019,0.023,0.021
2010/10/02 18:00,2011,2010,10,2,18,0,15.4,12,11.2,11.2,10.8,0.03,0.029,0.019,0.017,0.021
2010/10/02 19:00,2011,2010,10,2,19,0,14.9,12,11.1,11,10.7,0.027,0.027,0.016,0.023,0.021
2010/10/02 20:00,2011,2010,10,2,20,0,14.6,12.3,11.1,11.2,10.8,0.027,0.027,0.016,0.017,0.021
2010/10/02 21:00,2011,2010,10,2,21,0,14,12.1,11.2,11.1,10.8,0.0285,0.027,0.016,0.021,0.021
2010/10/02 22:00,2011,2010,10,2,22,0,14,12.3,11.1,11.1,10.8,0.03,0.033,0.019,0.017,0.021
2010/10/02 23:00,2011,2010,10,2,23,0,13.8,12.6,11.1,11.1,10.8,0.0285,0.033,0.019,0.017,0.021
2010/10/03 00:00,2011,2010,10,3,0,0,13.5,12.4,11.3,11.2,10.8,0.03,0.03,0.019,0.021,0.021
2010/10/03 01:00,2011,2010,10,3,1,0,13.4,12.6,11.1,11.2,10.8,0.027,0.033,0.019,0.021,0.021
2010/10/03 02:00,2011,2010,10,3,2,0,13.3,12.4,11.3,11.1,10.8,0.0255,0.03,0.019,0.017,0.021
2010/10/03 03:00,2011,2010,10,3,3,0,13.3,12.6,11.2,11,10.8,0.027,0.03,0.016,0.017,0.021
2010/10/03 04:00,2011,2010,10,3,4,0,12.8,12.6,11.1,11.1,10.8,0.028,0.03,0.019,0.017,0.021
2010/10/03 05:00,2011,2010,10,3,5,0,12.6,12.6,11.1,11.2,10.7,0.028,0.03,0.022,0.024,0.018
2010/10/03 06:00,2011,2010,10,3,6,0,12.3,12.6,11.2,11,10.8,0.028,0.033,0.019,0.021,0.021
2010/10/03 07:00,2011,2010,10,3,7,0,12.1,12.7,11.3,11.2,10.7,0.028,0.033,0.019,0.024,0.021
2010/10/03 08:00,2011,2010,10,3,8,0,12.3,12.6,11.1,11.2,10.8,0.028,0.03,0.022,0.024,0.021
2010/10/03 09:00,2011,2010,10,3,9,0,12.8,12.7,11.3,11.2,10.8,0.028,0.033,0.019,0.021,0.021
2010/10/03 10:00,2011,2010,10,3,10,0,13.7,12.6,11.3,11.2,10.8,0.0285,0.03,0.019,0.017,0.021
2010/10/03 11:00,2011,2010,10,3,11,0,14.9,12.4,11.2,11.2,10.8,0.027,0.033,0.016,0.023,0.021
2010/10/03 12:00,2011,2010,10,3,12,0,15.8,12.7,11.2,11.2,10.7,0.027,0.035,0.019,0.017,0.021
2010/10/03 13:00,2011,2010,10,3,13,0,16.8,12.7,11.3,11.2,10.8,0.03,0.033,0.013,0.024,0.021
2010/10/03 14:00,2011,2010,10,3,14,0,17.2,12.7,11.3,11.2,10.8,0.029,0.03,0.019,0.023,0.021
2010/10/03 15:00,2011,2010,10,3,15,0,16.7,12.6,11.2,11.2,10.7,0.03,0.03,0.022,0.021,0.021
2010/10/03 16:00,2011,2010,10,3,16,0,16.5,12.7,11.2,11.2,10.8,0.027,0.03,0.022,0.02,0.021
2010/10/03 17:00,2011,2010,10,3,17,0,16,12.8,11.2,11.2,10.8,0.03,0.03,0.019,0.017,0.021
2010/10/03 18:00,2011,2010,10,3,18,0,15.4,13,11.5,11.2,10.8,0.03,0.038,0.019,0.023,0.021
