,0
0,0.25
1,0.25
2,0.28
3,0.8
4,0.3
5,0.8
6,0.33
7,0.31
8,0.29
9,0.28
10,0.25
11,0.25
12,0.22
13,0.21
14,0.7
15,0.22
16,0.22
17,0.24
18,0.7
19,0.26
20,0.28
21,0.8
22,0.32
23,0.33
24,0.35
25,0.37
26,0.38
27,0.43
28,0.46
29,0.5
30,0.55
31,0.61
32,0.62
33,0.56
34,0.48
35,0.45
36,0.43
37,0.39
38,0.41
39,0.9
40,0.34
41,0.31
42,0.31
43,0.35
44,0.42
45,0.47
46,0.49
47,1.0
48,1.2
49,1.1
50,0.57
51,0.63
52,0.7
53,0.74
54,0.74
55,0.75
56,1.2
57,0.64
58,0.54
59,1.0
60,0.49
61,0.46
62,0.45
63,0.9
64,0.4
65,0.4
66,0.37
67,0.43
68,0.5
69,1.0
70,0.52
71,0.52
72,0.49
73,0.53
74,1.0
75,0.52
76,1.0
77,0.54
78,0.6
79,1.1
80,0.51
81,0.45
82,0.42
83,0.4
84,0.39
85,0.41
86,0.37
87,0.51
88,0.4
89,0.35
90,0.38
91,0.45
92,0.49
93,0.46
94,0.43
95,0.44
96,0.45
97,1.0
98,0.47
99,0.46
100,0.48
101,0.47
102,0.47
103,1.0
104,0.49
105,0.41
106,0.35
107,0.37
108,0.35
109,0.8
110,0.33
111,0.8
112,0.35
113,0.37
114,0.39
115,0.42
116,0.43
117,0.39
118,0.33
119,0.3
120,0.29
121,0.28
122,0.33
123,0.39
124,0.4
125,0.39
126,0.38
127,0.4
128,0.39
129,0.32
130,0.8
131,0.32
132,0.3
133,0.29
134,0.29
135,0.8
136,0.28
137,0.28
138,0.29
139,0.33
140,0.31
141,0.8
142,0.34
143,0.3
144,0.28
145,0.29
146,0.32
147,0.39
148,0.45
149,0.49
150,0.54
151,0.58
152,0.6
153,0.6
154,1.1
155,0.61
156,0.57
157,0.53
158,0.49
159,0.47
160,0.46
161,1.0
162,0.57
163,1.1
164,0.66
165,0.67
166,0.66
167,1.2
168,0.63
169,0.62
170,0.6
171,0.62
172,0.62
173,0.6
174,1.1
175,0.48
176,0.38
177,0.35
178,0.33
179,0.8
180,0.8
181,0.31
182,0.29
183,0.7
184,0.24
185,0.22
186,0.24
187,0.26
188,0.28
189,0.28
190,0.29
191,0.29
192,0.35
193,0.43
194,0.54
195,0.61
196,0.69
197,0.71
198,0.76
199,0.79
200,0.72
201,1.1
202,0.6
203,0.55
204,0.57
205,0.58
206,0.58
207,0.53
208,0.54
209,0.56
210,0.5
211,0.9
212,1.0
213,0.58
214,1.1
215,1.1
216,0.62
217,0.64
218,0.67
219,0.71
220,0.77
221,0.79
222,0.8
223,0.81
224,0.79
225,1.3
226,1.2
227,0.73
228,0.57
229,0.51
230,0.45
231,0.38
232,0.36
233,0.9
234,0.41
235,0.52
236,0.53
237,0.53
238,0.58
239,0.56
240,1.0
241,0.54
242,0.56
243,0.51
244,0.47
245,0.9
246,0.34
247,0.39
248,0.36
249,0.33
250,0.34
251,0.8
252,0.23
253,0.21
254,0.2
255,0.21
256,0.2
257,0.21
258,0.26
259,0.27
260,0.31
261,0.32
262,0.8
263,0.33
264,0.8
265,0.43
266,0.56
267,0.58
268,0.68
269,0.76
270,0.71
271,1.1
272,0.62
273,1.1
274,0.58
275,0.51
276,0.46
277,0.41
278,0.34
279,0.3
280,0.8
281,0.25
282,0.8
283,0.4
284,0.48
285,0.51
286,0.55
287,0.56
288,0.55
289,1.1
290,1.1
291,0.61
292,0.67
293,0.7
294,0.74
295,0.73
296,0.63
297,0.48
298,0.46
299,0.45
300,0.45
301,0.43
302,0.9
303,0.41
304,0.42
305,0.9
306,0.49
307,0.54
308,0.54
309,0.42
310,1.0
311,0.3
312,0.23
313,0.22
314,0.7
315,0.7
316,0.6
317,0.17
318,0.19
319,0.2
320,0.7
321,0.25
322,0.3
323,0.32
324,0.35
325,0.9
326,0.35
327,0.35
328,0.36
329,0.39
330,0.52
331,0.62
332,0.69
333,0.73
334,1.3
335,0.78
336,0.78
337,0.79
338,0.74
339,0.68
340,0.61
341,0.6
342,0.58
343,1.1
344,0.5
345,0.44
346,0.4
347,0.45
348,0.42
349,0.26
350,0.7
351,0.7
352,0.26
353,0.34
354,0.51
355,0.58
356,1.0
357,0.58
358,0.62
359,1.2
360,0.72
361,0.76
362,0.78
363,0.74
364,0.72
365,0.75
366,0.76
367,0.68
368,1.1
369,0.59
370,0.54
371,0.49
372,0.42
373,0.9
374,0.34
375,0.31
376,0.32
377,0.36
378,0.43
379,0.46
380,0.39
381,0.33
382,0.32
383,0.3
384,0.31
385,0.32
386,0.8
387,0.34
388,0.34
389,0.35
390,0.9
391,0.39
392,0.34
393,0.27
394,0.26
395,0.26
396,0.26
397,0.27
398,0.25
399,0.23
400,0.24
401,0.23
402,0.8
403,0.28
404,0.8
405,0.8
406,0.29
407,0.8
408,0.25
409,0.25
410,0.23
411,0.21
412,0.22
413,0.23
414,0.22
415,0.21
416,0.21
417,0.18
418,0.6
419,0.13
420,0.11
421,0.11
422,0.11
423,0.12
424,0.11
425,0.12
426,0.13
427,0.6
428,0.14
429,0.14
430,0.14
431,0.14
432,0.7
433,0.16
434,0.16
435,0.16
436,0.17
437,0.19
438,0.25
439,0.26
440,0.29
441,0.33
442,0.8
443,0.8
444,0.33
445,0.8
446,0.29
447,0.26
448,0.7
449,0.21
450,0.8
451,0.3
452,0.33
453,0.8
454,0.8
455,0.34
456,0.32
457,0.8
458,0.34
459,0.34
460,0.35
461,0.34
462,0.8
463,0.29
464,0.8
465,0.27
466,0.26
467,0.23
468,0.19
469,0.17
470,0.16
471,0.14
472,0.18
473,0.2
474,0.21
475,0.22
476,0.7
477,0.26
478,0.29
479,0.32
480,0.8
481,0.38
482,0.39
483,0.39
484,0.41
485,0.39
486,0.4
487,0.39
488,0.36
489,0.28
490,0.8
491,0.26
492,0.8
493,0.24
494,0.23
495,0.23
496,0.22
497,0.22
498,0.24
499,0.23
500,0.19
501,0.17
502,0.14
503,0.19
504,0.2
505,0.7
506,0.19
507,0.16
508,0.15
509,0.15
510,0.15
511,0.7
512,0.16
513,0.16
514,0.16
515,0.6
516,0.15
517,0.16
518,0.15
519,0.15
520,0.15
521,0.15
522,0.7
523,0.2
524,0.7
525,0.18
526,0.7
527,0.2
528,0.7
529,0.23
530,0.23
531,0.26
532,0.29
533,0.8
534,0.42
535,0.65
536,0.81
537,0.79
538,0.53
539,0.9
540,0.24
541,0.24
542,0.26
543,0.26
544,0.22
545,0.2
546,0.22
547,0.26
548,0.8
549,0.32
550,0.34
551,0.9
552,0.42
553,1.0
554,1.0
555,0.45
556,0.34
557,0.35
558,0.35
559,0.27
560,0.25
561,0.7
562,0.21
563,0.7
564,0.18
565,0.2
566,0.19
567,0.7
568,0.18
569,0.15
570,0.17
571,0.7
572,0.7
573,0.28
574,0.29
575,0.29
576,0.32
577,0.33
578,0.7
579,0.21
580,0.18
581,0.17
582,0.6
583,0.7
584,0.17
585,0.21
586,0.22
587,0.18
588,0.2
589,0.17
590,0.19
591,0.7
592,0.21
593,0.6
594,0.19
595,0.23
596,0.8
597,0.41
598,0.9
599,1.0
600,0.45
601,0.47
602,0.5
603,0.52
604,0.54
605,0.56
606,1.1
607,0.61
608,0.6
609,0.53
610,0.5
611,0.44
612,0.38
613,0.34
614,0.33
615,0.32
616,0.29
617,0.29
618,0.36
619,0.41
620,0.4
621,0.9
622,0.42
623,0.4
624,0.4
625,0.4
626,0.4
627,0.41
628,0.42
629,0.42
630,0.41
631,0.37
632,0.35
633,0.34
634,0.8
635,0.33
636,0.3
637,0.28
638,0.8
639,0.24
640,0.21
641,0.19
642,0.21
643,0.22
644,0.24
645,0.8
646,0.3
647,0.35
648,0.39
649,0.43
650,0.47
651,0.47
652,0.53
653,0.59
654,1.1
655,0.72
656,1.2
657,0.71
658,1.2
659,0.69
660,1.1
661,0.59
662,0.56
663,0.49
664,0.49
665,0.49
666,0.48
667,0.46
668,0.51
669,0.9
670,0.4
671,0.44
672,0.54
673,1.1
674,0.57
675,1.1
676,0.69
677,0.93
678,0.88
679,0.83
680,0.79
681,0.76
682,0.61
683,0.57
684,0.44
685,0.39
686,0.9
687,0.4
688,0.41
689,0.43
690,0.45
691,0.55
692,0.61
693,0.65
694,0.7
695,0.74
696,0.77
697,1.2
698,0.75
699,1.2
700,0.77
701,0.84
702,0.92
703,0.94
704,1.5
705,0.9
706,1.2
707,0.66
708,1.2
709,1.2
710,1.3
711,0.77
712,0.8
713,0.81
714,0.81
715,1.3
716,0.85
717,0.83
718,0.82
719,1.3
720,0.83
721,0.88
722,0.91
723,0.74
724,0.71
725,0.7
726,0.66
727,0.66
728,1.2
729,0.64
730,0.57
731,0.58
732,0.6
733,0.6
734,0.58
735,0.51
736,0.5
737,1.0
738,0.63
739,0.66
740,0.68
741,0.67
742,1.1
743,1.1
744,0.61
745,0.6
746,0.64
747,1.1
748,0.63
749,0.62
750,1.1
751,0.62
752,0.61
753,0.54
754,0.47
755,0.43
756,0.4
757,0.38
758,0.34
759,0.8
760,0.31
761,0.35
762,0.9
763,0.45
764,0.9
765,1.0
766,0.5
767,0.47
768,0.46
769,0.46
770,0.45
771,0.9
772,0.41
773,0.42
774,0.9
775,0.47
776,0.48
777,0.48
778,0.46
779,0.46
780,0.47
781,0.59
782,0.78
783,1.3
784,0.89
785,0.96
786,0.96
787,0.97
788,1.4
789,1.4
790,0.93
791,0.91
792,0.92
793,1.4
794,1.4
795,0.96
796,0.96
797,0.96
798,0.95
799,0.94
800,1.5
801,0.93
802,1.4
803,0.91
804,0.94
805,1.4
806,0.9
807,0.85
808,1.3
809,0.84
810,0.84
811,0.85
812,0.91
813,0.9
814,0.86
815,0.83
816,0.76
817,0.8
818,0.83
819,0.84
820,1.4
821,0.91
822,1.3
823,1.2
824,0.64
825,0.63
826,0.6
827,0.63
828,1.2
829,1.2
830,0.65
831,0.64
832,0.61
833,0.71
834,0.8
835,1.3
836,0.72
837,1.3
838,0.87
839,1.3
840,1.2
841,0.75
842,0.75
843,1.2
844,0.73
845,0.75
846,0.75
847,0.72
848,1.2
849,0.76
850,0.71
851,0.8
852,0.77
853,1.3
854,0.77
855,0.76
856,0.75
857,0.76
858,0.79
859,0.84
860,1.3
861,0.79
862,1.2
863,0.71
864,0.72
865,1.2
866,1.3
867,0.75
868,1.3
869,0.78
870,0.81
871,0.78
872,1.3
873,0.69
874,1.1
875,0.66
876,0.63
877,0.6
878,0.57
879,0.54
880,0.51
881,0.54
882,0.6
883,0.61
884,0.6
885,0.56
886,0.54
887,0.54
888,0.54
889,0.53
890,0.51
891,0.54
892,0.59
893,0.63
894,0.67
895,0.68
896,0.7
897,1.2
898,0.62
899,0.59
900,0.56
901,0.54
902,1.0
903,0.54
904,0.52
905,0.55
906,1.1
907,0.6
908,0.68
909,0.68
910,0.65
911,0.64
912,1.1
913,0.62
914,0.62
915,0.64
916,0.64
917,0.66
918,0.66
919,0.69
920,0.7
921,0.7
922,0.6
923,1.0
924,0.5
925,1.0
926,0.51
927,0.5
928,1.0
929,0.56
930,0.6
931,0.61
932,0.59
933,0.59
934,1.1
935,1.1
936,0.55
937,1.0
938,0.57
939,0.57
940,0.56
941,0.53
942,0.52
943,1.0
944,0.7
945,0.76
946,0.76
947,0.79
948,0.69
949,0.74
950,0.72
951,1.2
952,0.67
953,0.67
954,1.3
955,0.86
956,0.83
957,0.92
958,0.94
959,0.89
960,0.86
961,0.88
962,0.88
963,1.3
964,0.86
965,0.86
966,0.88
967,0.91
968,1.4
969,0.99
970,0.98
971,1.4
972,0.83
973,0.77
974,0.74
975,0.75
976,0.79
977,0.78
978,0.78
979,0.78
980,0.78
981,0.74
982,0.74
983,0.74
984,0.77
985,0.78
986,1.3
987,0.89
988,0.85
989,0.82
990,0.85
991,0.8
992,0.77
993,0.77
994,0.77
995,0.77
996,0.73
997,0.7
998,0.67
999,1.1
1000,0.59
1001,0.61
1002,0.65
1003,0.67
1004,0.67
1005,0.66
1006,0.67
1007,0.69
1008,0.76
1009,0.81
1010,0.85
1011,0.89
1012,0.89
1013,0.85
1014,0.85
1015,0.84
1016,0.83
1017,1.2
1018,0.67
1019,0.66
1020,0.64
1021,0.66
1022,0.65
1023,1.2
1024,0.56
1025,1.0
1026,0.57
1027,0.59
1028,1.0
1029,0.51
1030,0.53
1031,0.54
1032,0.57
1033,0.58
1034,1.1
1035,0.63
1036,0.6
1037,0.77
1038,0.78
1039,0.68
1040,0.55
1041,0.57
1042,0.51
1043,1.0
1044,1.1
1045,0.62
1046,0.59
1047,0.59
1048,1.1
1049,0.75
1050,0.7
1051,0.73
1052,0.75
1053,0.75
1054,0.76
1055,0.77
1056,0.81
1057,1.3
1058,0.72
1059,0.65
1060,0.58
1061,1.1
1062,0.65
1063,0.66
1064,0.69
1065,0.67
1066,0.63
1067,0.59
1068,0.59
1069,0.55
1070,1.0
1071,0.51
1072,1.0
1073,0.63
1074,0.69
1075,0.7
1076,0.67
1077,0.65
1078,0.65
1079,0.65
1080,0.66
1081,0.68
1082,0.68
1083,1.1
1084,0.86
1085,0.99
1086,0.99
1087,0.92
1088,0.87
1089,0.85
1090,0.82
1091,0.76
1092,0.7
1093,0.75
1094,0.85
1095,1.3
1096,0.9
1097,0.9
1098,1.4
1099,0.94
1100,0.92
1101,0.92
1102,1.4
1103,0.96
1104,1.5
1105,0.96
1106,0.97
1107,0.96
1108,0.97
1109,0.99
1110,0.99
1111,1.5
1112,1.5
1113,0.98
1114,1.5
1115,0.99
1116,1.4
1117,0.9
1118,0.83
1119,0.84
1120,0.9
1121,0.94
1122,0.94
1123,1.4
1124,0.93
1125,0.91
1126,1.4
1127,0.97
1128,0.97
1129,0.96
1130,1.5
1131,0.95
1132,0.92
1133,0.92
1134,0.91
1135,1.4
1136,0.89
1137,0.9
1138,0.9
1139,0.85
1140,0.76
1141,0.76
1142,0.72
1143,0.7
1144,0.75
1145,0.79
1146,0.79
1147,1.3
1148,0.76
1149,0.83
1150,0.89
1151,0.84
1152,0.81
1153,0.82
1154,1.3
1155,0.81
1156,0.8
1157,1.3
1158,0.77
1159,0.74
1160,0.73
1161,0.7
1162,0.66
1163,0.61
1164,0.6
1165,0.6
1166,0.6
1167,0.57
1168,0.52
1169,0.5
1170,0.52
1171,0.48
1172,0.46
1173,0.46
1174,0.48
1175,0.48
1176,0.48
1177,0.46
1178,0.9
1179,0.42
1180,0.39
1181,0.37
1182,0.34
1183,0.35
1184,0.9
1185,0.4
1186,0.39
1187,0.36
1188,0.38
1189,0.38
1190,0.35
1191,0.33
1192,0.33
1193,0.8
1194,0.34
1195,0.33
1196,0.32
1197,0.34
1198,0.51
1199,0.72
1200,1.3
1201,0.91
1202,0.97
1203,0.96
1204,0.94
1205,0.96
1206,0.93
1207,0.89
1208,0.83
1209,0.81
1210,0.74
1211,0.66
1212,0.6
1213,0.57
1214,0.5
1215,0.44
1216,0.5
1217,1.0
1218,0.65
1219,1.2
1220,0.56
1221,1.1
1222,0.63
1223,0.61
1224,0.65
1225,0.76
1226,0.86
1227,0.91
1228,1.4
1229,1.4
1230,0.91
1231,0.9
1232,0.92
1233,0.93
1234,0.9
1235,0.84
1236,0.79
1237,0.82
1238,0.75
1239,0.77
1240,0.83
1241,0.84
1242,0.89
1243,0.86
1244,0.9
1245,0.9
1246,1.4
1247,0.93
1248,0.9
1249,0.93
1250,0.93
1251,0.92
1252,0.9
1253,0.87
1254,0.83
1255,1.3
1256,0.83
1257,0.83
1258,0.8
1259,0.76
1260,0.69
1261,1.2
1262,0.68
1263,0.69
1264,0.68
1265,0.71
1266,0.73
1267,0.74
1268,0.74
1269,0.77
1270,0.73
1271,0.74
1272,0.74
1273,0.82
1274,0.83
1275,0.84
1276,0.82
1277,0.85
1278,1.4
1279,1.4
1280,0.88
1281,0.86
1282,0.76
1283,0.66
1284,0.65
1285,1.1
1286,0.56
1287,1.1
1288,1.1
1289,0.67
1290,0.75
1291,1.3
1292,0.62
1293,0.57
1294,0.54
1295,1.0
1296,0.52
1297,1.0
1298,0.45
1299,1.0
1300,0.46
1301,0.47
1302,0.48
1303,0.51
1304,1.1
1305,1.3
1306,0.89
1307,0.82
1308,1.1
1309,0.57
1310,0.56
1311,0.57
1312,1.1
1313,1.1
1314,0.61
1315,1.1
1316,0.6
1317,1.1
1318,0.67
1319,0.7
1320,0.69
1321,0.72
1322,0.75
1323,0.76
1324,1.2
1325,0.76
1326,1.3
1327,0.81
1328,0.82
1329,0.79
1330,0.74
1331,0.68
1332,1.1
1333,0.64
1334,0.76
1335,0.82
1336,0.9
1337,0.89
1338,0.93
1339,0.98
1340,0.95
1341,0.97
1342,0.95
1343,1.4
1344,0.95
1345,0.92
1346,1.4
1347,0.89
1348,0.88
1349,1.4
1350,0.9
1351,0.92
1352,0.93
1353,0.94
1354,0.93
1355,1.4
1356,0.93
1357,0.89
1358,0.83
1359,0.82
1360,1.4
1361,0.8
1362,0.81
1363,0.79
1364,0.8
1365,0.81
1366,0.84
1367,0.84
1368,0.85
1369,0.86
1370,0.86
1371,0.86
1372,1.4
1373,0.86
1374,0.86
1375,0.87
1376,0.86
1377,0.72
1378,0.6
1379,1.0
1380,0.57
1381,1.1
1382,0.63
1383,0.63
1384,0.67
1385,0.76
1386,0.81
1387,0.76
1388,0.66
1389,0.64
1390,0.57
1391,0.59
1392,0.58
1393,0.69
1394,0.7
1395,0.6
1396,0.62
1397,0.42
1398,0.9
1399,0.41
1400,0.8
1401,0.35
1402,0.35
1403,0.34
1404,0.8
1405,0.8
1406,0.33
1407,0.33
1408,0.34
1409,0.35
1410,0.34
1411,0.9
1412,0.39
1413,0.44
1414,1.0
1415,0.49
1416,0.52
1417,0.59
1418,0.74
1419,1.2
1420,0.69
1421,1.2
1422,1.3
1423,0.89
1424,0.84
1425,1.3
1426,1.4
1427,1.4
1428,0.83
1429,0.76
1430,0.85
1431,0.94
1432,0.96
1433,0.98
1434,0.98
1435,0.99
1436,1.5
1437,1.0
1438,0.98
1439,0.99
1440,0.97
1441,0.97
1442,0.96
1443,1.4
1444,0.91
1445,0.94
1446,0.98
1447,0.81
1448,0.9
1449,0.94
