,0
0,37.6
1,18.9
2,36.1
3,36.1
4,17.0
5,16.7
6,15.9
7,16.7
8,17.0
9,17.5
10,19.8
11,38.9
12,20.6
13,22.4
14,21.3
15,21.9
16,22.0
17,21.2
18,20.2
19,19.4
20,37.9
21,17.7
22,17.2
23,16.8
24,16.1
25,15.5
26,15.9
27,15.8
28,14.8
29,33.1
30,32.5
31,12.3
32,31.9
33,14.0
34,15.8
35,17.0
36,18.0
37,18.5
38,17.2
39,36.6
40,17.2
41,18.1
42,17.9
43,16.2
44,33.7
45,12.9
46,13.0
47,13.1
48,12.0
49,32.2
50,32.5
51,12.4
52,11.3
53,30.2
54,11.1
55,11.1
56,12.2
57,13.8
58,34.3
59,15.9
60,16.9
61,36.9
62,17.9
63,18.3
64,37.8
65,18.2
66,37.0
67,16.0
68,14.2
69,14.7
70,14.0
71,14.1
72,14.4
73,33.0
74,13.5
75,33.5
76,13.9
77,13.8
78,12.4
79,13.2
80,34.4
81,36.4
82,18.1
83,18.5
84,19.0
85,18.2
86,19.1
87,16.7
88,19.1
89,19.5
90,17.7
91,16.3
92,14.8
93,14.9
94,15.9
95,15.3
96,34.2
97,14.1
98,13.7
99,14.0
100,13.4
101,33.2
102,14.0
103,13.7
104,33.5
105,36.5
106,38.6
107,19.0
108,19.9
109,20.3
110,20.5
111,20.4
112,19.8
113,19.6
114,18.6
115,36.5
116,16.6
117,16.5
118,16.5
119,35.1
120,15.7
121,15.8
122,14.7
123,13.9
124,34.2
125,14.7
126,14.7
127,14.3
128,34.3
129,18.7
130,19.1
131,19.8
132,20.4
133,20.6
134,39.7
135,21.0
136,21.2
137,40.6
138,20.4
139,18.1
140,17.6
141,36.3
142,16.1
143,17.4
144,36.4
145,35.2
146,14.6
147,14.2
148,13.2
149,12.6
150,31.4
151,31.2
152,11.9
153,11.9
154,11.8
155,12.3
156,13.2
157,14.2
158,15.4
159,15.8
160,16.0
161,15.4
162,13.3
163,12.0
164,10.8
165,10.6
166,9.9
167,29.1
168,11.0
169,11.1
170,30.2
171,10.8
172,10.8
173,30.0
174,10.8
175,10.8
176,11.9
177,13.0
178,14.6
179,16.5
180,17.8
181,18.7
182,39.6
183,20.8
184,21.2
185,40.3
186,20.1
187,18.9
188,17.8
189,36.2
190,15.8
191,14.5
192,12.6
193,10.7
194,9.1
195,7.5
196,6.5
197,6.5
198,5.0
199,4.2
200,5.0
201,7.4
202,8.9
203,10.2
204,9.9
205,28.6
206,8.7
207,9.6
208,8.6
209,7.6
210,26.6
211,26.1
212,5.5
213,4.7
214,3.4
215,22.0
216,1.8
217,1.5
218,1.2
219,0.8
220,0.1
221,0.0
222,0.1
223,-0.3
224,19.4
225,0.6
226,1.1
227,1.8
228,4.1
229,4.8
230,5.9
231,26.1
232,7.1
233,6.7
234,4.8
235,3.2
236,2.3
237,20.9
238,1.2
239,1.2
240,1.3
241,1.7
242,1.2
243,20.6
244,1.1
245,20.6
246,2.1
247,21.1
248,23.1
249,5.9
250,6.7
251,28.9
252,10.9
253,11.4
254,11.5
255,11.8
256,11.1
257,11.6
258,10.4
259,9.7
260,8.6
261,8.1
262,7.9
263,7.6
264,27.2
265,8.6
266,8.4
267,8.0
268,7.0
269,5.6
270,4.3
271,3.6
272,3.1
273,3.2
274,23.6
275,5.3
276,25.4
277,6.7
278,27.2
279,28.1
280,8.6
281,8.5
282,6.8
