,0
0,-1.8
1,-1.4
2,-1.6
3,10.5
4,-0.6
5,-0.4
6,-0.3
7,-0.4
8,-1.0
9,-1.1
10,10.6
11,-0.8
12,-1.6
13,-0.9
14,-1.1
15,-0.7
16,10.7
17,11.2
18,-0.4
19,10.8
20,11.1
21,-0.5
22,0.4
23,0.4
24,0.6
25,0.9
26,1.6
27,3.3
28,3.3
29,14.9
30,4.4
31,5.0
32,5.5
33,16.7
34,4.8
35,5.0
36,5.2
37,15.6
38,3.9
39,2.1
40,12.5
41,12.0
42,0.6
43,12.1
44,1.7
45,1.9
46,2.5
47,3.8
48,6.5
49,5.8
50,4.9
51,5.6
52,6.0
53,6.5
54,6.7
55,6.8
56,7.1
57,7.1
58,5.8
59,6.1
60,17.4
61,5.9
62,5.8
63,5.2
64,4.7
65,4.4
66,2.8
67,3.4
68,15.2
69,4.1
70,4.3
71,4.4
72,3.8
73,4.3
74,4.1
75,4.5
76,15.8
77,4.7
78,4.9
79,4.6
80,5.0
81,5.1
82,5.0
83,4.7
84,4.8
85,16.1
86,4.1
87,6.5
88,5.2
89,3.6
90,3.2
91,15.7
92,4.2
93,14.7
94,3.4
95,3.1
96,14.4
97,2.7
98,2.6
99,2.6
100,2.6
101,2.8
102,2.9
103,3.2
104,3.6
105,15.2
106,14.8
107,4.0
108,4.0
109,3.9
110,3.7
111,3.6
112,3.9
113,4.5
114,4.4
115,4.2
116,4.0
117,2.5
118,11.5
119,-1.5
120,-2.0
121,-2.3
122,10.1
123,0.2
124,1.4
125,12.2
126,0.6
127,0.9
128,1.2
129,13.0
130,2.9
131,2.6
132,2.3
133,2.0
134,13.1
135,13.1
136,2.0
137,2.1
138,1.8
139,12.9
140,0.3
141,0.2
142,0.2
143,-0.3
144,-1.4
145,9.4
146,-1.7
147,0.5
148,1.5
149,2.2
150,3.1
151,3.9
152,4.4
153,4.4
154,4.8
155,16.3
156,4.9
157,4.8
158,4.8
159,15.8
160,4.4
161,4.2
162,16.3
163,5.0
164,16.0
165,4.7
166,3.9
167,15.1
168,4.2
169,4.1
170,3.4
171,15.1
172,3.8
173,3.3
174,2.6
175,0.2
176,-1.7
177,-1.9
178,-1.3
179,-1.0
180,0.0
181,1.2
182,1.7
183,0.1
184,-0.1
185,-1.3
186,10.4
187,10.4
188,-0.8
189,-1.5
190,-1.9
191,-2.9
192,-2.1
193,-1.2
194,0.3
195,11.8
196,1.2
197,1.6
198,1.1
199,12.2
200,11.7
201,1.0
202,1.6
203,1.6
204,1.8
205,1.5
206,0.9
207,11.8
208,11.2
209,10.8
210,-2.1
211,-4.9
212,-2.9
213,-2.5
214,7.3
215,-4.6
216,-4.2
217,-4.0
218,7.6
219,7.9
220,8.3
221,-2.8
222,-2.6
223,-2.8
224,-2.8
225,-2.6
226,-2.5
227,-2.2
228,-3.2
229,-4.0
230,6.8
231,-5.8
232,-6.2
233,-6.5
234,-6.5
235,6.3
236,-5.6
237,-6.1
238,-5.4
239,5.4
240,-6.2
241,-5.9
242,-5.9
243,4.4
244,-8.0
245,-9.3
246,0.5
247,-9.5
248,2.5
249,-8.1
250,4.2
251,-7.5
252,-8.4
253,-9.0
254,-9.5
255,-8.7
256,1.5
257,-8.9
258,-7.3
259,3.8
260,-6.7
261,-6.7
262,-6.5
263,4.5
264,-6.9
265,8.4
266,0.1
267,0.2
268,1.5
269,1.7
270,-0.4
271,-2.1
272,-3.1
273,-2.6
274,8.5
275,-3.5
276,-4.1
277,-5.0
278,-6.2
279,-6.9
280,2.6
281,2.0
282,-8.1
283,-6.6
284,-5.2
285,-5.0
286,-4.1
287,-4.4
288,-4.5
289,-4.5
290,-4.7
291,-4.4
292,-3.7
293,-3.6
294,-4.0
295,-4.1
296,-4.6
297,-4.9
298,-4.7
299,-4.3
300,-3.7
301,-3.6
302,7.6
303,8.3
304,-2.8
305,-2.8
306,-2.7
307,-2.9
308,-3.5
309,-5.5
310,-4.1
311,-7.9
312,-10.0
313,-10.6
314,-10.2
315,-0.5
316,-2.9
317,-13.2
318,-12.6
319,-12.4
320,-11.7
321,-9.3
322,-7.8
323,4.7
324,-5.1
325,7.1
326,-4.3
327,-4.1
328,7.5
329,-3.3
330,-1.8
331,-1.8
332,-2.0
333,-1.7
334,-1.2
335,-1.3
336,-1.3
337,10.2
338,-2.2
339,-2.7
340,-2.8
341,8.3
342,-3.2
343,-3.4
344,-3.7
345,-3.5
346,-3.4
347,-2.7
348,-2.8
349,5.8
350,5.1
351,-7.2
352,-6.9
353,-3.7
354,-0.4
355,0.8
356,0.0
357,1.5
358,0.5
359,0.5
360,1.1
361,13.2
362,13.8
363,2.6
364,2.9
365,2.7
366,2.1
367,12.2
368,0.7
369,1.1
370,1.0
371,1.1
372,0.8
373,0.6
374,0.6
375,0.5
376,1.0
377,1.4
378,13.0
379,1.5
380,0.1
381,-1.2
382,-1.8
383,-2.3
384,9.1
385,-1.9
386,-1.9
387,-2.0
388,9.1
389,9.4
390,-1.7
391,-0.8
392,-1.4
393,-2.3
394,-1.6
395,-1.0
396,-0.2
397,0.8
398,0.7
399,10.9
400,-1.2
401,9.8
402,-1.9
403,-2.0
404,-1.1
405,-1.1
406,-1.6
407,-1.7
408,-2.4
409,-3.0
410,-3.8
411,-4.8
412,6.5
413,-4.2
414,-4.6
415,-5.0
416,-5.4
417,-5.4
418,-5.8
419,-6.3
420,-7.7
421,3.6
422,-7.6
423,4.3
424,-8.0
425,-8.1
426,-8.5
427,-8.7
428,-8.7
429,-8.6
430,-8.9
431,-9.3
432,-8.9
433,-9.0
434,2.1
435,-9.2
436,-8.5
437,-7.6
438,6.7
439,-4.0
440,-2.6
441,10.6
442,0.1
443,0.8
444,0.6
445,0.7
446,0.1
447,-0.7
448,-1.6
449,-3.5
450,-2.0
451,-1.2
452,-1.0
453,10.6
454,-0.9
455,-0.8
456,10.2
457,-1.2
458,-0.1
459,0.0
460,11.2
461,-0.5
462,-1.5
463,-1.8
464,-2.4
465,-1.8
466,-2.4
467,-2.4
468,-3.3
469,-4.6
470,-4.8
471,-6.0
472,-3.3
473,8.5
474,8.2
475,-3.2
476,-2.9
477,-2.7
478,9.7
479,-0.8
480,-0.6
481,0.4
482,0.6
483,12.3
484,1.1
485,0.5
486,-0.1
487,10.9
488,-0.7
489,-0.5
490,-0.4
491,11.1
492,12.2
493,0.1
494,-0.1
495,-0.3
496,-0.8
497,-1.2
498,-2.1
499,-4.0
500,-5.5
501,-6.1
502,-7.7
503,-4.2
504,-3.8
505,7.2
506,-5.3
507,4.4
508,-7.6
509,-7.3
510,-7.7
511,-7.2
512,-7.0
513,-6.5
514,-6.6
515,-6.1
516,-5.7
517,-4.5
518,6.2
519,6.5
520,-4.9
521,-5.4
522,-5.1
523,-5.1
524,5.8
525,-7.0
526,-7.8
527,-7.5
528,-7.2
529,-6.5
530,-5.9
531,-5.2
532,-4.8
533,-4.5
534,-2.2
535,1.5
536,2.8
537,1.8
538,-2.8
539,-5.3
540,-10.6
541,1.4
542,-8.6
543,3.1
544,-10.2
545,-0.3
546,-12.1
547,-11.8
548,-0.3
549,-10.4
550,-9.5
551,-9.2
552,-7.7
553,-7.3
554,-7.0
555,-8.0
556,0.5
557,-10.4
558,-10.0
559,-12.6
560,-13.8
561,-13.7
